filename,swin_b,swin_s,swin_t,ViTB16,ViTB32,ViTH14,ViTL16,ViTL32,MaxVit,swin_v2_b,swin_v2_s,swin_v2_t
n01440764_19403.JPEG,7.913,5.775,4.258,0.967,10.189,0.478,10.119,3.551,7.603,5.328,5.565,6.758
n01440764_1951.JPEG,0.246,0.302,0.173,0.361,7.622,0.312,9.027,2.569,4.742,0.488,0.145,0.408
n01440764_19661.JPEG,6.964,5.44,5.446,0.743,11.234,0.652,11.338,6.205,9.414,6.779,5.198,6.024
n01440764_1973.JPEG,1.006,0.595,0.444,1.229,9.042,0.308,10.688,4.976,5.655,3.641,2.283,0.288
n01440764_19759.JPEG,7.665,7.131,6.317,0.581,9.714,0.411,11.03,5.848,5.217,5.965,4.731,6.041
n01440764_19777.JPEG,9.539,8.485,6.966,0.156,10.599,0.154,9.525,4.27,8.667,8.867,8.067,6.875
n01440764_1980.JPEG,4.533,4.963,3.196,0.204,8.002,1.555,10.529,7.128,9.658,5.174,4.737,5.698
n01440764_19807.JPEG,10.457,10.425,7.745,0.722,8.001,0.403,6.89,5.541,8.594,9.238,10.056,8.32
n01440764_19938.JPEG,1.07,1.851,1.948,3.77,3.112,0.893,1.215,0.873,3.053,2.112,1.172,0.523
n01440764_1995.JPEG,8.477,7.304,5.726,0.171,6.417,0.659,10.548,5.262,8.313,6.153,7.04,6.372
n01440764_200.JPEG,6.759,5.055,3.541,0.362,3.797,0.908,10.967,4.379,5.424,6.458,5.291,4.904
n01440764_2001.JPEG,7.289,8.103,7.116,0.233,10.026,0.524,11.18,4.796,8.715,5.888,5.941,7.542
n01440764_2002.JPEG,7.94,10.429,7.15,0.625,1.57,1.161,9.15,5.849,7.296,3.078,5.159,7.674
n01440764_2006.JPEG,0.972,0.632,0.454,0.134,0.863,0.829,4.813,4.577,5.961,3.401,0.792,1.306
n01440764_2015.JPEG,9.239,7.226,7.618,3.082,10.218,2.249,7.975,2.652,5.035,8.915,8.08,6.468
n01440764_2018.JPEG,5.007,2.364,4.891,1.076,11.132,0.872,10.375,6.104,8.789,5.599,4.752,4.918
n01440764_20299.JPEG,8.271,6.458,3.566,1.655,7.992,0.901,10.441,2.216,8.15,4.62,5.972,4.727
n01440764_20316.JPEG,7.719,7.874,6.524,0.206,8.214,0.582,11.32,1.486,6.712,5.248,6.339,6.579
n01440764_2043.JPEG,4.281,3.912,1.013,0.21,9.274,0.326,10.427,6.991,7.746,4.276,2.531,4.252
n01440764_20434.JPEG,7.045,4.909,4.913,0.666,9.541,0.675,11.348,3.489,7.894,7.388,5.975,7.005
n01440764_20451.JPEG,9.355,8.996,4.829,0.342,11.18,0.6,11.313,7.22,9.212,8.583,8.084,7.878
n01440764_20523.JPEG,6.466,6.096,4.314,0.323,8.267,0.494,10.869,6.107,5.056,3.133,4.081,3.923
n01440764_20592.JPEG,11.388,11.699,12.552,1.808,9.756,0.619,9.844,7.508,6.781,9.21,8.931,9.283
n01440764_20650.JPEG,5.727,5.037,4.966,0.23,6.801,0.334,10.248,5.532,8.731,4.778,4.416,4.203
n01440764_20915.JPEG,7.665,10.85,9.601,1.146,10.036,0.808,10.374,3.822,2.334,6.791,6.698,8.305
n01440764_20922.JPEG,2.825,3.58,3.684,0.225,4.723,0.814,8.638,4.051,1.93,4.926,4.647,4.187
n01440764_2094.JPEG,3.52,3.697,3.745,0.285,7.805,0.991,7.371,5.237,6.824,2.464,2.845,4.408
n01440764_2095.JPEG,2.833,0.293,1.991,1.306,6.967,0.069,9.377,3.087,6.586,3.511,3.071,3.291
n01440764_2098.JPEG,7.297,6.063,5.905,0.421,8.959,0.584,10.768,5.046,9.089,6.229,3.782,7.31
