filename,regnet_y_800mf,regnet_x_16gf,vgg13,vgg19,ViTB32,EfficientNetV2_l,EfficientNetb2,DenseNet169,regnet_x_800mf,ViTH14,EfficientNetb5,DenseNet121,ViTL16,Inception_v3,MNASNet0_5,vgg16_bn,ConvNeXt_large,MaxVit,wide_resnet101_2,swin_v2_b,shufflenet_v2_x0_5,vgg13_bn,EfficientNetb1,swin_s,EfficientNetb6,swin_t,vgg11_bn,regnet_y_16gf,MNASNet0_75,squeezenet1_0,resnet152,ConvNeXt_small,shufflenet_v2_x1_5,MNASNet1_3,swin_v2_s,ConvNeXt_base,resnext101_32x8d,vgg19_bn,regnet_x_8gf,swin_b,regnet_x_1_6gf,EfficientNetb4,regnet_x_400mf,resnet18,resnext50_32x4d,resnet50,regnet_y_32gf,resnext101_64x4d,EfficientNetb3,EfficientNetV2_m,EfficientNetV2_s,resnet34,MobileNet_v3_large,AlexNet,MobileNet_V2,regnet_y_1_6gf,regnet_y_400mf,swin_v2_t,wide_resnet50_2,shufflenet_v2_x1_0,ConvNeXt_tiny,resnet101,regnet_x_32gf,DenseNet201,vgg16,ViTB16,MNASNet1_0,regnet_x_3_2gf,regnet_y_8gf,EfficientNetb7,squeezenet1_1,regnet_y_128gf,MobileNet_v3_small,DenseNet161,GoogLeNet,EfficientNetb0,regnet_y_3_2gf,vgg11,shufflenet_v2_x2_0,ViTL32
n01440764_1313.JPEG,6.225,2.488,0.541,0.743,8.189,4.241,9.619,4.627,1.243,0.309,8.941,4.459,5.927,11.513,0.459,3.713,5.178,7.648,2.85,5.859,2.485,3.306,8.428,5.399,10.27,4.651,4.425,7.373,1.559,3.026,2.902,5.481,1.15,1.501,5.006,6.071,2.647,3.459,3.459,6.18,1.468,7.394,1.626,0.821,3.655,2.428,6.061,2.487,8.284,8.339,8.461,2.221,5.909,0.386,1.982,7.164,5.149,6.357,3.034,1.673,1.758,3.822,2.936,5.121,1.007,0.886,0.937,2.433,6.918,10.491,4.484,6.001,4.855,5.547,6.46,6.559,7.368,2.604,0.446,5.09
n01440764_13133.JPEG,6.404,4.62,0.666,0.383,9.289,8.562,10.454,6.896,1.382,0.975,9.046,7.293,10.72,11.511,0.137,0.555,3.605,6.564,4.429,2.649,0.299,2.244,9.84,3.937,10.127,3.035,0.445,10.73,0.608,0.272,4.517,4.489,0.916,1.412,3.143,5.4,3.309,5.432,4.464,5.676,2.115,8.451,1.708,0.716,2.947,3.317,10.322,2.684,9.536,8.687,9.976,1.721,6.158,4.15,1.74,6.99,4.795,5.413,2.804,0.933,1.1,4.767,5.562,5.694,0.626,0.585,4.113,3.386,10.89,10.407,0.338,9.553,6.016,8.187,2.821,5.237,9.523,2.408,0.724,3.905
n01440764_13138.JPEG,6.784,0.934,0.191,0.317,9.63,8.691,7.104,0.379,0.138,0.807,9.888,2.914,11.344,11.513,0.172,0.206,0.366,8.293,0.831,1.695,0.077,0.2,5.132,0.538,9.125,0.8,0.235,9.188,0.158,0.158,0.542,3.518,0.366,0.458,1.129,5.452,0.744,0.301,1.169,1.898,0.632,6.571,0.315,0.191,1.065,1.006,11.334,0.42,8.787,8.341,8.304,0.303,3.918,2.029,0.12,5.32,5.929,0.457,0.75,0.128,0.105,0.964,0.987,0.362,0.313,2.675,0.401,0.492,8.794,10.839,0.149,9.793,5.469,0.694,4.842,2.728,8.487,0.29,0.121,6.867
n01440764_13144.JPEG,5.658,3.45,0.605,1.575,6.562,4.966,5.799,4.586,0.911,0.479,7.319,3.835,7.859,11.513,0.163,2.157,6.67,8.465,3.579,4.588,0.777,2.855,6.347,6.154,9.501,4.145,2.229,8.869,0.704,0.676,3.017,5.953,1.535,1.596,5.45,6.529,1.898,1.621,4.128,6.373,1.416,7.897,1.7,0.931,3.2,2.884,6.973,1.774,7.838,8.766,7.48,1.233,3.203,3.145,1.56,6.494,4.662,5.292,3.859,0.989,3.695,3.801,4.547,3.566,1.175,0.185,0.373,2.79,7.974,8.903,0.6,7.357,4.348,5.159,3.462,2.139,8.692,1.444,0.608,7.749
n01440764_13161.JPEG,7.353,4.234,4.102,1.968,8.9,6.733,10.721,3.135,0.955,1.452,9.902,3.827,11.187,11.513,0.151,4.961,9.114,4.601,4.214,6.086,0.283,5.737,8.656,6.846,10.786,6.367,5.154,11.193,0.603,0.543,3.763,6.768,1.283,1.626,5.883,8.732,3.353,5.154,4.992,8.929,1.006,9.521,1.144,1.975,4.464,3.183,11.377,3.263,10.818,9.523,10.302,1.205,8.26,0.595,1.218,7.781,6.294,5.986,3.249,0.277,3.897,3.993,4.921,2.843,4.903,2.166,0.324,2.803,10.366,11.292,0.64,8.317,11.491,7.824,8.077,5.28,9.489,2.047,0.743,6.441
n01440764_13183.JPEG,7.943,5.538,3.686,5.313,10.743,9.997,10.493,6.875,2.107,0.143,10.257,5.972,9.642,11.513,0.349,6.266,4.252,8.175,4.202,4.98,0.623,4.219,8.173,2.02,9.176,3.074,3.913,8.479,2.763,0.521,5.113,4.063,2.618,4.22,4.661,4.48,4.65,7.235,4.6,5.147,4.071,8.58,2.832,3.13,5.01,4.06,10.141,2.974,9.324,8.276,9.246,4.953,6.503,1.018,4.387,6.366,5.314,3.711,3.975,3.974,2.245,4.885,4.351,5.013,2.761,3.303,1.424,4.083,8.749,11.37,0.214,9.355,5.799,4.311,9.048,6.222,7.782,4.257,1.655,6.873
n01440764_13208.JPEG,5.543,3.604,1.682,1.425,5.234,8.38,6.517,4.394,1.071,1.397,7.687,4.349,10.392,10.596,0.657,1.742,0.934,6.658,3.266,3.6,0.269,1.203,5.336,1.076,8.223,2.287,0.401,9.566,0.731,0.136,3.461,1.699,0.509,0.684,1.185,1.652,2.471,2.445,3.353,2.134,1.505,6.761,0.756,0.772,3.274,2.438,7.669,1.988,7.386,6.453,8.663,1.03,2.109,0.823,0.774,6.206,3.492,1.416,2.255,1.07,0.378,3.727,2.156,2.178,2.423,0.33,1.854,3.33,7.657,9.66,0.223,8.976,0.773,2.543,2.042,2.584,6.492,1.046,5.695,2.226
n01440764_13251.JPEG,8.781,9.664,0.301,6.992,8.134,7.877,11.03,11.512,5.986,0.589,10.136,11.513,10.857,11.513,1.223,0.319,0.626,7.884,11.194,6.491,1.259,5.044,9.987,2.73,10.464,2.844,3.492,11.183,6.497,0.579,10.338,4.333,7.869,6.379,6.522,5.504,10.008,9.869,11.038,2.136,6.86,12.638,5.45,1.188,11.592,9.037,3.159,10.11,12.078,7.915,9.476,7.46,8.792,1.652,5.388,8.948,9.32,7.373,8.755,0.908,5.42,10.953,9.143,11.511,2.624,0.94,0.955,11.12,11.222,8.133,2.406,7.363,4.795,11.513,9.568,8.453,9.819,1.356,8.167,4.549
n01440764_13255.JPEG,6.036,3.912,1.094,0.175,6.437,9.776,6.225,1.647,0.875,0.657,8.116,5.293,11.177,8.23,0.155,0.576,0.177,8.166,2.829,4.133,0.151,0.718,6.643,2.102,10.567,3.703,1.103,11.062,0.397,0.863,2.421,6.497,1.677,0.759,2.499,5.739,1.942,1.116,3.824,2.279,0.913,5.362,0.826,0.447,2.884,2.358,6.484,1.639,6.466,8.724,8.457,0.839,4.519,1.083,0.675,7.273,6.878,4.237,1.949,0.89,1.467,3.301,3.51,3.739,0.067,2.445,0.251,3.852,10.06,7.909,1.373,1.09,0.517,4.304,4.359,1.939,8.159,0.44,0.521,5.764
n01440764_13257.JPEG,8.358,2.607,2.222,0.181,6.667,9.569,10.822,3.394,0.763,0.419,10.721,3.758,10.789,0.826,0.13,0.312,1.886,8.61,2.922,4.057,0.216,0.587,10.027,3.771,11.372,0.937,0.59,7.756,0.394,0.715,1.99,2.51,1.614,0.458,2.476,4.174,0.885,1.271,1.877,2.802,1.445,7.916,1.339,0.28,2.072,1.502,9.789,1.87,9.328,7.672,9.137,0.826,7.132,5.52,0.459,6.509,6.136,1.829,2.054,0.315,0.096,1.519,1.639,2.614,0.382,0.13,0.337,2.036,8.776,10.319,0.574,7.926,4.835,5.095,2.593,5.421,7.861,0.454,2.281,4.964
